command,subcommand,version,date,source,note
accesslogs,,2.1.0,2020-03-20,changelog,""
activity,,0.2.3,2015-08-25,changelog,""
addon,,0.2.3,2015-08-25,changelog,""
addon,create,0.2.3,2015-08-25,changelog,""
addon,delete,0.2.3,2015-08-25,changelog,""
addon,env,2.11.0,2023-07-25,changelog,""
addon,list,0.2.3,2015-08-25,changelog,""
addon,providers,0.2.3,2015-08-25,changelog,""
addon,providers show,0.2.3,2015-08-25,changelog,""
addon,rename,0.3.0,2015-09-23,changelog,""
applications,,0.3.0,2015-09-23,changelog,"was called "list""
applications,list,3.8.0,2024-07-01,changelog,""
cancel-deploy,,0.2.0,2015-07-28,manual,""
config,,2.5.0,2020-05-26,changelog,""
config,get,2.5.0,2020-05-26,changelog,""
config,set,2.5.0,2020-05-26,changelog,""
config,update,2.5.0,2020-05-26,changelog,""
console,,1.0.0,2018-10-15,changelog,""
create,,0.2.0,2015-07-28,manual,""
curl,,2.10.0,2023-02-16,changelog,""
database,,2.10.0,2023-02-16,changelog,""
database,backups,2.10.0,2023-02-16,changelog,""
database,backups download,2.10.0,2023-02-16,changelog,""
delete,,0.7.0,2017-02-07,changelog,""
deploy,,0.2.0,2015-07-28,manual,""
diag,,1.6.0,2019-09-27,changelog,""
domain,,0.2.0,2015-07-28,manual,""
domain,add,0.2.0,2015-07-28,manual,""
domain,diag,3.9.0,2024-10-23,changelog,""
domain,favourite,2.7.0,2020-08-20,changelog,""
domain,favourite set,2.7.0,2020-08-20,changelog,""
domain,favourite unset,2.7.0,2020-08-20,changelog,""
domain,overview,3.9.0,2024-10-23,changelog,""
domain,rm,0.2.0,2015-07-28,manual,""
drain,,0.9.0,2017-08-18,changelog,""
drain,create,0.9.0,2017-08-18,changelog,""
drain,disable,0.9.0,2017-08-18,changelog,""
drain,enable,0.9.0,2017-08-18,changelog,""
drain,get,0.9.0,2017-08-18,changelog,""
drain,remove,0.9.0,2017-08-18,changelog,""
emails,,3.13.0,2025-06-10,changelog,""
emails,add,3.13.0,2025-06-10,changelog,""
emails,open,3.13.0,2025-06-10,changelog,""
emails,primary,3.13.0,2025-06-10,changelog,""
emails,remove,3.13.0,2025-06-10,changelog,""
emails,remove-all,3.13.0,2025-06-10,changelog,""
env,,0.2.0,2015-07-28,manual,""
env,import,0.3.0,2015-09-23,changelog,""
env,import-vars,2.0.0,2020-03-06,changelog,""
env,rm,0.3.0,2015-09-23,changelog,""
env,set,0.3.0,2015-09-23,changelog,""
features,,3.11.0,2024-12-18,changelog,""
features,disable,3.11.0,2024-12-18,changelog,""
features,enable,3.11.0,2024-12-18,changelog,""
features,info,3.11.0,2024-12-18,changelog,""
features,list,3.11.0,2024-12-18,changelog,""
k8s,,4.3.0,2025-10-22,changelog,""
k8s,add-persistent-storage,4.3.0,2025-10-22,changelog,""
k8s,create,4.3.0,2025-10-22,changelog,""
k8s,delete,4.3.0,2025-10-22,changelog,""
k8s,get,4.3.0,2025-10-22,changelog,""
k8s,get-kubeconfig,4.3.0,2025-10-22,changelog,""
k8s,list,4.3.0,2025-10-22,changelog,""
keycloak,,3.13.0,2025-06-10,changelog,""
keycloak,disable-ng,3.13.0,2025-06-10,changelog,""
keycloak,enable-ng,3.13.0,2025-06-10,changelog,""
keycloak,get,3.13.0,2025-06-10,changelog,""
keycloak,open,3.13.0,2025-06-10,changelog,""
keycloak,open logs,3.13.0,2025-06-10,changelog,""
keycloak,open webui,3.13.0,2025-06-10,changelog,""
keycloak,rebuild,3.13.0,2025-06-10,changelog,""
keycloak,restart,3.13.0,2025-06-10,changelog,""
keycloak,version,3.13.0,2025-06-10,changelog,""
keycloak,version check,3.13.0,2025-06-10,changelog,""
keycloak,version update,3.13.0,2025-06-10,changelog,""
kv,,3.11.0,2024-12-18,changelog,""
link,,0.2.0,2015-07-28,manual,""
login,,0.2.0,2015-07-28,manual,""
logout,,1.0.0,2018-10-15,changelog,""
logs,,0.2.0,2015-07-28,manual,""
make-default,,0.5.0,2016-06-24,changelog,""
matomo,,3.13.0,2025-06-10,changelog,""
matomo,get,3.13.0,2025-06-10,changelog,""
matomo,open,3.13.0,2025-06-10,changelog,""
matomo,open logs,3.13.0,2025-06-10,changelog,""
matomo,open webui,3.13.0,2025-06-10,changelog,""
matomo,rebuild,3.13.0,2025-06-10,changelog,""
matomo,restart,3.13.0,2025-06-10,changelog,""
metabase,,3.13.0,2025-06-10,changelog,""
metabase,get,3.13.0,2025-06-10,changelog,""
metabase,open,3.13.0,2025-06-10,changelog,""
metabase,open logs,3.13.0,2025-06-10,changelog,""
metabase,open webui,3.13.0,2025-06-10,changelog,""
metabase,rebuild,3.13.0,2025-06-10,changelog,""
metabase,restart,3.13.0,2025-06-10,changelog,""
metabase,version,3.13.0,2025-06-10,changelog,""
metabase,version check,3.13.0,2025-06-10,changelog,""
metabase,version update,3.13.0,2025-06-10,changelog,""
ng,,3.12.0,2025-03-06,changelog,""
ng,create,3.12.0,2025-03-06,changelog,""
ng,create external,3.12.0,2025-03-06,changelog,""
ng,delete,3.12.0,2025-03-06,changelog,""
ng,delete external,3.12.0,2025-03-06,changelog,""
ng,get,3.12.0,2025-03-06,changelog,""
ng,get-config,3.12.0,2025-03-06,changelog,""
ng,link,3.12.0,2025-03-06,changelog,""
ng,search,3.12.0,2025-03-06,changelog,""
ng,unlink,3.12.0,2025-03-06,changelog,""
notify-email,,0.6.1,2016-10-24,changelog,""
notify-email,add,0.6.1,2016-10-24,changelog,""
notify-email,remove,0.6.1,2016-10-24,changelog,""
open,,0.5.0,2016-06-24,changelog,""
otoroshi,,3.13.0,2025-06-10,changelog,""
otoroshi,disable-ng,3.13.0,2025-06-10,changelog,""
otoroshi,enable-ng,3.13.0,2025-06-10,changelog,""
otoroshi,get,3.13.0,2025-06-10,changelog,""
otoroshi,get-config,4.4.0,2025-11-13,changelog,""
otoroshi,open,3.13.0,2025-06-10,changelog,""
otoroshi,open logs,3.13.0,2025-06-10,changelog,""
otoroshi,open webui,3.13.0,2025-06-10,changelog,""
otoroshi,rebuild,3.13.0,2025-06-10,changelog,""
otoroshi,restart,3.13.0,2025-06-10,changelog,""
otoroshi,version,3.13.0,2025-06-10,changelog,""
otoroshi,version check,3.13.0,2025-06-10,changelog,""
otoroshi,version update,3.13.0,2025-06-10,changelog,""
profile,,0.10.1,2018-01-16,changelog,""
profile,open,3.11.0,2024-12-18,changelog,""
published-config,,0.5.0,2016-06-24,changelog,""
published-config,import,0.5.0,2016-06-24,changelog,""
published-config,rm,0.5.0,2016-06-24,changelog,""
published-config,set,0.5.0,2016-06-24,changelog,""
restart,,0.4.0,2016-01-06,changelog,""
scale,,0.4.0,2016-01-06,changelog,""
service,,0.5.0,2016-06-24,changelog,""
service,link-addon,0.5.0,2016-06-24,changelog,""
service,link-app,0.5.0,2016-06-24,changelog,""
service,unlink-addon,0.5.0,2016-06-24,changelog,""
service,unlink-app,0.5.0,2016-06-24,changelog,""
ssh,,0.7.0,2017-02-07,changelog,""
ssh-keys,,3.13.0,2025-06-10,changelog,""
ssh-keys,add,3.13.0,2025-06-10,changelog,""
ssh-keys,open,3.13.0,2025-06-10,changelog,""
ssh-keys,remove,3.13.0,2025-06-10,changelog,""
ssh-keys,remove-all,3.13.0,2025-06-10,changelog,""
status,,0.2.0,2015-07-28,manual,""
stop,,0.2.0,2015-07-28,manual,""
tcp-redirs,,2.3.0,2020-03-30,changelog,""
tcp-redirs,add,2.3.0,2020-03-30,changelog,""
tcp-redirs,list-namespaces,2.3.0,2020-03-30,changelog,""
tcp-redirs,remove,2.3.0,2020-03-30,changelog,""
tokens,,3.12.0,2025-03-06,changelog,""
tokens,create,3.12.0,2025-03-06,changelog,""
tokens,revoke,3.12.0,2025-03-06,changelog,""
unlink,,0.2.0,2015-07-28,manual,""
version,,1.0.0,2018-10-15,changelog,""
webhooks,,0.6.0,2016-10-06,changelog,""
webhooks,add,0.6.0,2016-10-06,changelog,""
webhooks,remove,0.6.0,2016-10-06,changelog,""
